"y","x","g"
3,-0.306638594078475,"1"
1,-1.78130843398,"1"
1,-0.171917355759621,"1"
26,1.2146746991726,"1"
13,1.89519346126497,"1"
3,-0.4304691316062,"1"
7,-0.25726938276893,"1"
2,-1.76316308519478,"1"
1,0.460097354831271,"1"
1,-0.639994875960119,"1"
2,0.455450123241219,"1"
18,0.704837337228819,"1"
9,1.03510352196992,"1"
4,-0.608926375407211,"1"
11,0.50495512329797,"1"
1,-1.71700867907334,"2"
0,-0.784459008379496,"2"
1,-0.850907594176518,"2"
0,-2.41420764994663,"2"
1,0.0361226068922556,"2"
2,0.205998600200254,"2"
1,-0.361057298548666,"2"
0,0.758163235699517,"2"
0,-0.726704827076575,"2"
1,-1.36828104441929,"2"
1,0.432818025888717,"2"
0,-0.811393176186672,"2"
6,1.44410126172125,"2"
2,-0.431446202613345,"2"
3,0.655647883402207,"2"
1,0.321925265203947,"3"
0,-0.783838940880375,"3"
6,1.57572751979198,"3"
0,0.642899305717316,"3"
5,0.0897606465996057,"3"
1,0.276550747291463,"3"
10,0.679288816055271,"3"
0,0.0898328865790817,"3"
1,-2.99309008315293,"3"
2,0.284882953530659,"3"
0,-0.367234642740975,"3"
2,0.185230564865609,"3"
5,0.581823727365507,"3"
0,1.39973682729268,"3"
0,-0.727292059474465,"3"
5,1.30254263204414,"4"
0,0.335848119752074,"4"
4,1.03850609869762,"4"
2,0.920728568290646,"4"
1,0.720878162866862,"4"
0,-1.04311893856785,"4"
2,-0.0901863866107067,"4"
13,0.623518161999544,"4"
2,-0.953523357772344,"4"
0,-0.542828814573857,"4"
2,0.580996497681682,"4"
10,0.768178737834591,"4"
2,0.463767588540167,"4"
5,-0.885776297409679,"4"
2,-1.09978089864786,"4"
10,1.51270700980493,"5"
3,0.257921437532031,"5"
2,0.0884402291595864,"5"
1,-0.120896537539089,"5"
0,-1.19432889516053,"5"
7,0.611996898040387,"5"
4,-0.217139845746521,"5"
5,-0.182756706331922,"5"
4,0.93334632857116,"5"
0,0.821773110508249,"5"
3,1.39211637593427,"5"
6,-0.476173923054674,"5"
1,0.650348560726305,"5"
3,1.39111045639,"5"
0,-1.1107888794479,"5"
0,-0.860792586877842,"6"
0,-1.13173868085377,"6"
0,-1.4592139995024,"6"
2,0.0799825532411612,"6"
2,0.65320433964919,"6"
6,1.20096537559849,"6"
1,1.04475108716773,"6"
0,-1.00320864683985,"6"
3,1.84848190167275,"6"
0,-0.666773408757817,"6"
0,0.105513812456069,"6"
2,-0.422255881868856,"6"
1,-0.122350171954971,"6"
0,0.188193034501498,"6"
2,0.119160957997006,"6"
2,-0.0250925508674029,"7"
2,0.108072727942033,"7"
0,-0.485435235846668,"7"
3,-0.504217130687904,"7"
0,-1.66109907991481,"7"
1,-0.382333726873818,"7"
10,-0.5126502578778,"7"
135,2.7018910003448,"7"
1,-1.36211623118972,"7"
0,0.137256218558607,"7"
1,-1.49362506731629,"7"
1,-1.4704357414368,"7"
0,0.124702386197007,"7"
0,-0.996639134884037,"7"
11,-0.0018226143047082,"7"
2,-0.428258881425815,"8"
0,-0.613671606449495,"8"
0,-2.02467784541911,"8"
0,-1.22474795035999,"8"
1,0.179516441117938,"8"
3,0.567620594423535,"8"
0,-0.492877353553475,"8"
0,6.28840653511241e-05,"8"
10,1.12288964337997,"8"
6,1.43985574297619,"8"
1,-1.09711376840582,"8"
2,-0.117319560250177,"8"
1,1.2014984009197,"8"
0,-0.469729580566301,"8"
3,-0.0524694849389963,"8"
3,-0.0861072982370896,"9"
1,-0.887679017906432,"9"
5,-0.444684004884738,"9"
8,-0.0294448790882381,"9"
4,-0.413868849057924,"9"
10,1.1133860233682,"9"
9,-0.480992841653982,"9"
8,-0.433169032600729,"9"
18,0.696862576552103,"9"
5,-1.05636841317091,"9"
2,-0.0406984751512149,"9"
